,ALPHA_DEG,BETA_DEG,MACH,CA,CN,CY,CLL,CM,CLN,XCP,ZCP
0,-10,-6,3.0,0.0432392,-0.327654,0.16208,-0.0155434,0.0974143,-0.240969,-2.46938,0.212852
1,-10,-5,3.0,0.0431098,-0.327208,0.134636,-0.0129542,0.0972905,-0.200131,-2.46608,0.212058
2,-10,-4,3.0,0.0428422,-0.326846,0.107448,-0.0103761,0.0971956,-0.15969,-2.46337,0.211389
3,-10,-3,3.0,0.0427545,-0.326555,0.0804578,-0.00778909,0.0971105,-0.119561,-2.46121,0.210871
4,-10,-2,3.0,0.0426872,-0.326347,0.0536216,-0.00521079,0.0970359,-0.0796255,-2.45965,0.210498
5,-10,-1,3.0,0.0425476,-0.326185,0.0269061,-0.00262401,0.0969926,-0.0399556,-2.45871,0.21028
6,-10,0,3.0,0.0423295,-0.326161,0.000226192,-3.7746e-05,0.0969882,-0.000232479,-2.4584,0.210205
7,-10,1,3.0,0.0424806,-0.326166,-0.0264567,0.00254616,0.0969852,0.0393905,-2.45871,0.210282
8,-10,2,3.0,0.0426477,-0.326295,-0.0531793,0.00512679,0.0970269,0.0791355,-2.45962,0.210506
9,-10,3,3.0,0.0427893,-0.32648,-0.0800219,0.00771606,0.0970854,0.118953,-2.46117,0.21088
10,-10,4,3.0,0.0428812,-0.326753,-0.107015,0.0103015,0.0971673,0.159073,-2.46332,0.211399
11,-10,5,3.0,0.0429145,-0.327106,-0.134196,0.0128873,0.0972678,0.199583,-2.46606,0.212059
12,-9,-6,3.0,0.0449766,-0.280936,0.160971,-0.0151538,0.0855539,-0.239842,-2.46929,0.217445
13,-9,-5,3.0,0.0448545,-0.280462,0.133726,-0.0126321,0.085433,-0.199226,-2.46595,0.216667
14,-9,-4,3.0,0.0442697,-0.280015,0.10669,-0.010116,0.0853307,-0.158931,-2.46316,0.216028
15,-9,-3,3.0,0.0442236,-0.279695,0.0798903,-0.00759533,0.0852414,-0.11899,-2.46096,0.215524
16,-9,-2,3.0,0.0440842,-0.279452,0.0532363,-0.00507725,0.0851692,-0.0792561,-2.45937,0.215162
17,-9,-1,3.0,0.0440114,-0.279312,0.0267066,-0.00255578,0.0851255,-0.0396831,-2.45843,0.214943
18,-9,0,3.0,0.0440732,-0.279302,0.000206354,-3.46815e-05,0.0851039,-0.000207264,-2.45812,0.214872
19,-9,1,3.0,0.0439754,-0.279283,-0.0262802,0.00248384,0.0851089,0.0392558,-2.45841,0.214949
20,-9,2,3.0,0.044151,-0.279423,-0.0528191,0.00500019,0.0851554,0.0788171,-2.45935,0.21517
21,-9,3,3.0,0.0441446,-0.279626,-0.0794571,0.00752177,0.0852119,0.118494,-2.46092,0.215532
22,-9,4,3.0,0.0444049,-0.279929,-0.106274,0.0100401,0.0853061,0.158409,-2.46312,0.216037
23,-9,5,3.0,0.0446282,-0.280335,-0.133283,0.0125595,0.0853992,0.198665,-2.4659,0.216678
24,-8,-6,3.0,0.0465444,-0.234678,0.159906,-0.0147885,0.0738895,-0.238886,-2.46859,0.222117
25,-8,-5,3.0,0.0464067,-0.234135,0.13282,-0.0123239,0.0737458,-0.198357,-2.46515,0.221371
26,-8,-4,3.0,0.0461177,-0.233666,0.105976,-0.00986781,0.0736226,-0.158209,-2.46231,0.220755
27,-8,-3,3.0,0.0460846,-0.233323,0.0793532,-0.00740716,0.0735282,-0.118452,-2.46008,0.220268
28,-8,-2,3.0,0.0459372,-0.233055,0.0528956,-0.00495629,0.0734484,-0.0788909,-2.45848,0.21992
29,-8,-1,3.0,0.0458722,-0.232904,0.0265427,-0.00248849,0.073404,-0.0395288,-2.45749,0.219701
30,-8,0,3.0,0.0459433,-0.2329,0.000194532,-3.5175e-05,0.0733794,-0.000194109,-2.45718,0.219639
31,-8,1,3.0,0.0458738,-0.232896,-0.026142,0.00242053,0.0733973,0.0391189,-2.45748,0.219701
32,-8,2,3.0,0.0460044,-0.233027,-0.0524812,0.00487599,0.0734383,0.0784886,-2.45844,0.219926
33,-8,3,3.0,0.0460069,-0.233252,-0.0789402,0.00733536,0.0734978,0.117974,-2.46004,0.220276
34,-8,4,3.0,0.0462746,-0.233586,-0.10558,0.00979178,0.0735976,0.157718,-2.46227,0.220765
35,-8,5,3.0,0.0463034,-0.234013,-0.132404,0.0122519,0.0737155,0.197856,-2.4651,0.221383
36,-7,-6,3.0,0.0515301,-0.195253,0.158914,-0.0144399,0.0661662,-0.237856,-2.45971,0.22677
37,-7,-5,3.0,0.0513712,-0.194667,0.13199,-0.0120317,0.0660131,-0.197493,-2.45613,0.226048
38,-7,-4,3.0,0.0511104,-0.194177,0.105309,-0.00962666,0.0658911,-0.157532,-2.45313,0.225447
39,-7,-3,3.0,0.0510825,-0.193805,0.0788456,-0.00721636,0.0657948,-0.11794,-2.45077,0.224975
40,-7,-2,3.0,0.050925,-0.19353,0.0525473,-0.00482463,0.0657112,-0.078537,-2.44913,0.22464
41,-7,-1,3.0,0.0508574,-0.193376,0.0263482,-0.00242889,0.0656618,-0.0393213,-2.44813,0.224437
42,-7,0,3.0,0.0507795,-0.193354,0.000189491,-3.52551e-05,0.0656528,-0.000185189,-2.4478,0.224368
43,-7,1,3.0,0.0507914,-0.193361,-0.0259596,0.00235748,0.0656703,0.0389211,-2.44813,0.224439
44,-7,2,3.0,0.0508913,-0.193504,-0.0521604,0.00474624,0.0657191,0.078156,-2.44913,0.224642
45,-7,3,3.0,0.050953,-0.193758,-0.0784628,0.00715001,0.0657869,0.117509,-2.45079,0.22498
46,-7,4,3.0,0.0511785,-0.194097,-0.10493,0.00955428,0.0658802,0.157047,-2.45312,0.22546
47,-7,5,3.0,0.0511952,-0.19455,-0.131595,0.0119597,0.0660022,0.197025,-2.45608,0.226059
48,-6,-6,3.0,0.0534571,-0.149539,0.15796,-0.0141178,0.0547045,-0.236913,-2.45766,0.231569
49,-6,-5,3.0,0.0532523,-0.148924,0.131195,-0.011767,0.0545459,-0.196712,-2.454,0.230879
50,-6,-4,3.0,0.0530846,-0.148418,0.104674,-0.00941357,0.0544197,-0.156935,-2.45098,0.230308
51,-6,-3,3.0,0.0530287,-0.148026,0.0783715,-0.00707049,0.054319,-0.117477,-2.4486,0.229856
52,-6,-2,3.0,0.0528581,-0.147732,0.052224,-0.00472906,0.0542355,-0.0782276,-2.4469,0.229534
53,-6,-1,3.0,0.0527662,-0.147557,0.0261654,-0.00238821,0.0541871,-0.0391332,-2.44588,0.229345
54,-6,0,3.0,0.0524593,-0.147475,0.000185401,-3.38387e-05,0.0541972,-0.000188053,-2.4455,0.22927
55,-6,1,3.0,0.0527394,-0.147533,-0.0258063,0.00231805,0.0541866,0.0387835,-2.44587,0.229345
56,-6,2,3.0,0.0528492,-0.147693,-0.05186,0.00465489,0.0542334,0.0778466,-2.44689,0.229537
57,-6,3,3.0,0.0528825,-0.147949,-0.0780003,0.00700115,0.0543051,0.117047,-2.44858,0.22986
58,-6,4,3.0,0.0531556,-0.148332,-0.104318,0.00934353,0.0544081,0.156465,-2.45095,0.230312
59,-6,5,3.0,0.053177,-0.14882,-0.130828,0.0116915,0.0545353,0.196285,-2.45397,0.230885
60,-5,-6,3.0,0.0557103,-0.104067,0.15707,-0.0138088,0.0433295,-0.23605,-2.45492,0.236369
61,-5,-5,3.0,0.0555198,-0.10342,0.130444,-0.011508,0.0431638,-0.195995,-2.45121,0.235713
62,-5,-4,3.0,0.0553594,-0.102893,0.104079,-0.0092083,0.0430379,-0.156394,-2.44812,0.235169
63,-5,-3,3.0,0.0553017,-0.102472,0.0779179,-0.00691382,0.042927,-0.117052,-2.44569,0.23474
64,-5,-2,3.0,0.0551123,-0.102151,0.0519209,-0.00462659,0.042845,-0.0779081,-2.44397,0.234435
65,-5,-1,3.0,0.0550077,-0.101971,0.0260177,-0.00233488,0.0427933,-0.0389901,-2.44292,0.234249
66,-5,0,3.0,0.054693,-0.101884,0.000174583,-3.56307e-05,0.0428032,-0.000163392,-2.44256,0.234186
67,-5,1,3.0,0.0550068,-0.101947,-0.0256721,0.00226402,0.0427932,0.0386726,-2.44291,0.23425
68,-5,2,3.0,0.0551395,-0.102117,-0.0515703,0.00455124,0.0428391,0.0775703,-2.44396,0.234438
69,-5,3,3.0,0.0551902,-0.102399,-0.0775626,0.00684563,0.042917,0.116617,-2.44567,0.234744
70,-5,4,3.0,0.0553812,-0.102796,-0.103733,0.00913769,0.0430284,0.155896,-2.44809,0.235174
71,-5,5,3.0,0.0554087,-0.103315,-0.130093,0.011436,0.043158,0.195577,-2.45117,0.235721
72,-4,-6,3.0,0.0581316,-0.0587229,0.156235,-0.0135268,0.0320348,-0.235213,-2.45151,0.241141
73,-4,-5,3.0,0.0579424,-0.058041,0.129745,-0.0112728,0.0318628,-0.19529,-2.44773,0.24052
74,-4,-4,3.0,0.0578015,-0.057486,0.103518,-0.00901865,0.0317334,-0.155827,-2.4446,0.240005
75,-4,-3,3.0,0.0576802,-0.0570485,0.077495,-0.00677255,0.0316227,-0.116637,-2.44215,0.239601
76,-4,-2,3.0,0.0575468,-0.0567094,0.0516365,-0.00453195,0.0315319,-0.0776448,-2.44039,0.239312
77,-4,-1,3.0,0.057437,-0.0565141,0.0258742,-0.00228665,0.0314802,-0.0388613,-2.43932,0.239136
78,-4,0,3.0,0.0571263,-0.0564261,0.000165785,-3.41624e-05,0.03149,-0.000164437,-2.43895,0.239076
79,-4,1,3.0,0.0574458,-0.0564921,-0.0255376,0.00221672,0.0314794,0.0385225,-2.43931,0.239138
80,-4,2,3.0,0.0575761,-0.056675,-0.0513022,0.00445985,0.0315283,0.0772886,-2.44037,0.239315
81,-4,3,3.0,0.0576172,-0.0569694,-0.0771593,0.00670496,0.0316096,0.116194,-2.44212,0.239605
82,-4,4,3.0,0.0577767,-0.057394,-0.103186,0.00895121,0.0317234,0.155367,-2.44457,0.240011
83,-4,5,3.0,0.0577852,-0.0579363,-0.12941,0.0112001,0.0318635,0.194923,-2.4477,0.240529
84,-3,-6,3.0,0.0606808,-0.013422,0.155459,-0.0132662,0.0208066,-0.23444,-2.44743,0.245855
85,-3,-5,3.0,0.0604922,-0.012705,0.129092,-0.0110558,0.0206277,-0.194648,-2.44362,0.245272
86,-3,-4,3.0,0.0603498,-0.0121242,0.102995,-0.00884461,0.0204956,-0.155307,-2.44042,0.244784
87,-3,-3,3.0,0.0602445,-0.0116607,0.077107,-0.00664157,0.0203806,-0.116251,-2.43793,0.244405
88,-3,-2,3.0,0.0600636,-0.0113097,0.0513972,-0.00445233,0.0202877,-0.0774622,-2.4361,0.244142
89,-3,-1,3.0,0.0599588,-0.0111041,0.0257354,-0.00224175,0.0202351,-0.038731,-2.43505,0.243967
90,-3,0,3.0,0.0596581,-0.0110103,0.000159997,-3.42846e-05,0.0202445,-0.000158255,-2.43468,0.243911
91,-3,1,3.0,0.0601539,-0.0111038,-0.0254198,0.00216547,0.0202491,0.0384575,-2.43504,0.243968
92,-3,2,3.0,0.0601049,-0.0112719,-0.0510769,0.00438016,0.020285,0.0771076,-2.43608,0.244146
93,-3,3,3.0,0.0601346,-0.0115848,-0.0767868,0.00657642,0.0203687,0.115831,-2.43792,0.244411
94,-3,4,3.0,0.0603213,-0.0120321,-0.102682,0.0087783,0.0204867,0.154869,-2.44038,0.244792
95,-3,5,3.0,0.0603601,-0.0126048,-0.128772,0.0109832,0.0206259,0.194291,-2.44358,0.245281
96,-2,-6,3.0,0.0633753,0.031912,0.154742,-0.0130295,0.0096196,-0.233721,-2.44272,0.25048
97,-2,-5,3.0,0.0631757,0.0326662,0.128493,-0.0108576,0.00943637,-0.194053,-2.43885,0.249934
98,-2,-4,3.0,0.06297,0.0332866,0.102508,-0.00868837,0.0092938,-0.154802,-2.4356,0.249477
99,-2,-3,3.0,0.062932,0.0337564,0.0767484,-0.00652394,0.00918129,-0.115891,-2.43309,0.249123
100,-2,-2,3.0,0.0627546,0.0341199,0.0511397,-0.00437144,0.00908389,-0.0772055,-2.43123,0.248873
101,-2,-1,3.0,0.0626463,0.0343404,0.0256092,-0.00220195,0.00903316,-0.0386026,-2.43015,0.248711
102,-2,0,3.0,0.0623251,0.0344418,0.000147895,-3.30151e-05,0.00904409,-0.00014667,-2.42977,0.248659
103,-2,1,3.0,0.0628725,0.0343436,-0.025312,0.00212915,0.00904295,0.0383361,-2.43014,0.248713
104,-2,2,3.0,0.0628219,0.0341598,-0.0508362,0.00429929,0.00908217,0.0768561,-2.43122,0.248876
105,-2,3,3.0,0.0628651,0.0338308,-0.0764365,0.006458,0.00916719,0.115488,-2.43306,0.249128
106,-2,4,3.0,0.0630632,0.0333665,-0.102215,0.00862044,0.00928787,0.154406,-2.43556,0.249485
107,-2,5,3.0,0.0631092,0.0327603,-0.128189,0.0107863,0.00943362,0.193705,-2.4388,0.249944
108,-1,-6,3.0,0.0662903,0.0773602,0.154091,-0.0128121,-0.00155911,-0.233076,-2.43741,0.254991
109,-1,-5,3.0,0.0660472,0.0781563,0.127942,-0.0106762,-0.00173963,-0.193512,-2.43348,0.25448
110,-1,-4,3.0,0.0658126,0.0788046,0.102065,-0.00854506,-0.00188434,-0.154359,-2.43019,0.254052
111,-1,-3,3.0,0.0658236,0.0792993,0.0764152,-0.00641335,-0.00199947,-0.11556,-2.42764,0.253724
112,-1,-2,3.0,0.0656119,0.0796727,0.0508912,-0.00429034,-0.00209764,-0.0769452,-2.4258,0.253479
113,-1,-1,3.0,0.0654921,0.0798964,0.0254932,-0.0021669,-0.00215426,-0.038523,-2.42467,0.253338
114,-1,0,3.0,0.0652442,0.080017,0.000140045,-3.13154e-05,-0.00214347,-0.000149664,-2.42425,0.253274
115,-1,1,3.0,0.0657136,0.0799121,-0.0252045,0.00209588,-0.00214458,0.0382067,-2.42465,0.253339
116,-1,2,3.0,0.0657065,0.0797099,-0.0505996,0.00422202,-0.00209861,0.0765971,-2.42578,0.253484
117,-1,3,3.0,0.065789,0.0793673,-0.0761207,0.00634976,-0.00201404,0.115176,-2.42761,0.253728
118,-1,4,3.0,0.0659724,0.0788736,-0.101787,0.00847683,-0.00188475,0.153975,-2.43015,0.254059
119,-1,5,3.0,0.0660177,0.07824,-0.127655,0.0106071,-0.00173847,0.193178,-2.43344,0.254489
120,0,-6,3.0,0.0693471,0.123012,0.15349,-0.0126191,-0.0127295,-0.232508,-2.43155,0.25936
121,0,-5,3.0,0.0691599,0.123844,0.127448,-0.0105149,-0.0129206,-0.193042,-2.42757,0.258885
122,0,-4,3.0,0.0689459,0.124519,0.101666,-0.00841266,-0.0130745,-0.15399,-2.42425,0.258487
123,0,-3,3.0,0.0688308,0.125052,0.0761044,-0.00631714,-0.0132021,-0.115258,-2.42166,0.25818
124,0,-2,3.0,0.0687426,0.125423,0.0506592,-0.00419574,-0.0132898,-0.0767409,-2.41982,0.257947
125,0,-1,3.0,0.0686613,0.12566,0.0253708,-0.00209333,-0.013344,-0.0384815,-2.41867,0.257821
126,0,0,3.0,0.0680243,0.125757,0.000138489,-3.27739e-05,-0.0133178,-0.000188189,-2.41826,0.257775
127,0,1,3.0,0.0687632,0.125688,-0.0250968,0.0020242,-0.013345,0.0381326,-2.41864,0.257826
128,0,2,3.0,0.0687743,0.125456,-0.0503829,0.00412821,-0.0132908,0.0763715,-2.41979,0.257949
129,0,3,3.0,0.0688501,0.125101,-0.0758309,0.00624878,-0.0132008,0.114897,-2.42165,0.258185
130,0,4,3.0,0.0690313,0.124588,-0.101403,0.0083465,-0.0130723,0.153599,-2.42422,0.258495
131,0,5,3.0,0.0690507,0.123926,-0.127171,0.0104455,-0.0129183,0.192698,-2.42753,0.258893
132,1,-6,3.0,0.072996,0.16896,0.152943,-0.0124489,-0.0239514,-0.232059,-2.42516,0.263561
133,1,-5,3.0,0.0727828,0.169826,0.126992,-0.0103729,-0.024148,-0.192663,-2.42115,0.263119
134,1,-4,3.0,0.0725976,0.17053,0.101295,-0.00830091,-0.0243092,-0.153685,-2.41781,0.262752
135,1,-3,3.0,0.0725039,0.171084,0.0758345,-0.00623457,-0.0244366,-0.115029,-2.41519,0.262464
136,1,-2,3.0,0.0724137,0.171476,0.0505056,-0.00416625,-0.0245282,-0.0766227,-2.4133,0.262253
137,1,-1,3.0,0.0723147,0.171725,0.0252962,-0.00210497,-0.0245843,-0.0384064,-2.41214,0.262133
138,1,0,3.0,0.0719375,0.171814,0.000127994,-3.1851e-05,-0.0245665,-0.000221478,-2.4118,0.262106
139,1,1,3.0,0.0723753,0.171739,-0.0250388,0.00203881,-0.0245773,0.0379394,-2.41214,0.262136
140,1,2,3.0,0.0723846,0.171512,-0.0502453,0.00410223,-0.0245267,0.0761371,-2.41329,0.262258
141,1,3,3.0,0.072432,0.17113,-0.0755774,0.00617177,-0.0244374,0.114556,-2.41516,0.262471
142,1,4,3.0,0.072579,0.170595,-0.101046,0.0082373,-0.0243054,0.153174,-2.41778,0.262762
143,1,5,3.0,0.0725777,0.169907,-0.126731,0.0103061,-0.024144,0.192219,-2.42111,0.263131
144,2,-6,3.0,0.076438,0.215272,0.152463,-0.012305,-0.0352011,-0.231546,-2.41837,0.267581
145,2,-5,3.0,0.0762576,0.216183,0.126593,-0.0102534,-0.0354041,-0.192252,-2.41432,0.267173
146,2,-4,3.0,0.0760221,0.216924,0.100979,-0.00820412,-0.0355671,-0.153378,-2.41096,0.266832
147,2,-3,3.0,0.0760868,0.217482,0.075601,-0.00615355,-0.0356876,-0.114854,-2.40829,0.266564
148,2,-2,3.0,0.0758624,0.217914,0.0503517,-0.00412164,-0.0357911,-0.0764957,-2.40638,0.266371
149,2,-1,3.0,0.0758022,0.21816,0.0252057,-0.00207672,-0.0358515,-0.0383704,-2.40522,0.266257
150,2,0,3.0,0.075425,0.218275,0.000126294,-3.31631e-05,-0.0358405,-0.00025524,-2.40484,0.26622
151,2,1,3.0,0.0758461,0.21818,-0.0249601,0.00201101,-0.0358474,0.0378618,-2.40522,0.26626
152,2,2,3.0,0.0758481,0.217951,-0.0501035,0.00405831,-0.0357917,0.075965,-2.40637,0.266376
153,2,3,3.0,0.0759038,0.217548,-0.0753439,0.0060995,-0.0357022,0.114288,-2.40828,0.266573
154,2,4,3.0,0.0760415,0.216986,-0.100736,0.00813921,-0.0355646,0.152841,-2.41092,0.266841
155,2,5,3.0,0.0760691,0.216259,-0.126345,0.0101859,-0.0354013,0.191782,-2.41428,0.267184
156,3,-6,3.0,0.0801147,0.262045,0.152035,-0.0121859,-0.0465145,-0.23119,-2.41121,0.271402
157,3,-5,3.0,0.0799143,0.262999,0.126236,-0.0101525,-0.0467271,-0.191961,-2.40713,0.271023
158,3,-4,3.0,0.0796693,0.263773,0.100694,-0.00812424,-0.0468949,-0.153156,-2.40375,0.270709
159,3,-3,3.0,0.0797475,0.264359,0.0753888,-0.00609607,-0.0470165,-0.114692,-2.40107,0.27046
160,3,-2,3.0,0.0795078,0.264802,0.0502016,-0.00407751,-0.0471267,-0.0764048,-2.39914,0.270283
161,3,-1,3.0,0.0794506,0.265067,0.0251288,-0.00205709,-0.0471889,-0.0383102,-2.39797,0.270176
162,3,0,3.0,0.0790699,0.265185,0.000115554,-3.38987e-05,-0.0471805,-0.000263326,-2.39758,0.27014
163,3,1,3.0,0.0794549,0.265083,-0.0248988,0.00199077,-0.0471851,0.0377625,-2.39796,0.270177
164,3,2,3.0,0.0794453,0.264835,-0.0499686,0.00401421,-0.0471281,0.0758396,-2.39912,0.270287
165,3,3,3.0,0.0795038,0.264419,-0.075144,0.00603787,-0.0470329,0.114087,-2.40104,0.270467
166,3,4,3.0,0.0796082,0.263827,-0.10046,0.0080564,-0.0468934,0.152582,-2.4037,0.270718
167,3,5,3.0,0.0796398,0.263062,-0.125998,0.0100816,-0.0467244,0.191449,-2.40709,0.271034
168,4,-6,3.0,0.083949,0.309348,0.151665,-0.0120892,-0.0579182,-0.230879,-2.40376,0.275012
169,4,-5,3.0,0.083628,0.310344,0.125924,-0.0100692,-0.0581272,-0.19171,-2.39966,0.274659
170,4,-4,3.0,0.0834827,0.31116,0.10045,-0.00806464,-0.0583134,-0.152947,-2.39625,0.274369
171,4,-3,3.0,0.0835001,0.31178,0.0751931,-0.00604955,-0.0584518,-0.114542,-2.39356,0.274138
172,4,-2,3.0,0.0833692,0.312236,0.0500736,-0.00404483,-0.058555,-0.0763386,-2.39163,0.273974
173,4,-1,3.0,0.0832738,0.312514,0.025065,-0.00204411,-0.0586195,-0.0382955,-2.39045,0.273874
174,4,0,3.0,0.0829182,0.31264,0.000110822,-3.70117e-05,-0.0586104,-0.000309812,-2.39007,0.273843
175,4,1,3.0,0.0832884,0.312529,-0.0248432,0.00197269,-0.0586148,0.0376752,-2.39044,0.273875
176,4,2,3.0,0.0832692,0.312269,-0.0498485,0.00397684,-0.0585578,0.075701,-2.3916,0.273979
177,4,3,3.0,0.0832895,0.311825,-0.074966,0.00598324,-0.0584597,0.113905,-2.39353,0.274145
178,4,4,3.0,0.0834111,0.311206,-0.100234,0.00798859,-0.0583166,0.152324,-2.39622,0.274379
179,4,5,3.0,0.0835311,0.310399,-0.125704,0.00999588,-0.0581362,0.191127,-2.39961,0.274671
180,5,-6,3.0,0.0879215,0.35727,0.151353,-0.0120103,-0.0694304,-0.230641,-2.39609,0.278402
181,5,-5,3.0,0.0877933,0.358327,0.125674,-0.0100156,-0.0696497,-0.191549,-2.39197,0.278075
182,5,-4,3.0,0.0875666,0.359164,0.100242,-0.00801805,-0.0698451,-0.152832,-2.38856,0.277805
183,5,-3,3.0,0.0874825,0.359817,0.0750297,-0.00602207,-0.069988,-0.11444,-2.38587,0.277593
184,5,-2,3.0,0.0873303,0.360275,0.049972,-0.00402413,-0.0700896,-0.0762409,-2.38392,0.277438
185,5,-1,3.0,0.0872186,0.360574,0.0250135,-0.00203495,-0.07016,-0.0382546,-2.38276,0.277347
186,5,0,3.0,0.0868528,0.360702,0.000106345,-3.82306e-05,-0.0701487,-0.000307065,-2.38237,0.277318
187,5,1,3.0,0.087291,0.360596,-0.0247924,0.00195766,-0.0701575,0.0375964,-2.38275,0.277349
188,5,2,3.0,0.0872106,0.360314,-0.0497559,0.00395134,-0.0700984,0.0755861,-2.38391,0.277444
189,5,3,3.0,0.0872427,0.359847,-0.0748169,0.00594372,-0.0699971,0.113748,-2.38585,0.2776
190,5,4,3.0,0.0873642,0.359189,-0.100026,0.00793301,-0.0698516,0.152128,-2.38853,0.277814
191,5,5,3.0,0.0874617,0.358353,-0.12546,0.00992975,-0.0696619,0.190869,-2.39193,0.278085
192,6,-6,3.0,0.0920752,0.405865,0.151108,-0.0119576,-0.0810777,-0.2304,-2.38827,0.281567
193,6,-5,3.0,0.0918466,0.406964,0.125468,-0.00996968,-0.0813067,-0.191321,-2.38415,0.281263
194,6,-4,3.0,0.0916564,0.407838,0.100068,-0.00797262,-0.0815124,-0.152666,-2.38074,0.281012
195,6,-3,3.0,0.0916,0.408533,0.0749038,-0.00599297,-0.0816617,-0.114316,-2.37805,0.280814
196,6,-2,3.0,0.0916379,0.409018,0.0498934,-0.00400448,-0.08176,-0.0762347,-2.3761,0.280671
197,6,-1,3.0,0.0914831,0.409341,0.0249587,-0.00203567,-0.0818393,-0.0382463,-2.37491,0.280582
198,6,0,3.0,0.0911846,0.409467,0.00010097,-5.06043e-05,-0.0818232,-0.000331205,-2.37453,0.280559
199,6,1,3.0,0.0914972,0.40936,-0.024749,0.00194498,-0.0818395,0.0375171,-2.37491,0.280584
200,6,2,3.0,0.0913816,0.409054,-0.0496783,0.00392644,-0.0817775,0.0755035,-2.37607,0.280675
201,6,3,3.0,0.09139,0.408561,-0.0746969,0.00590965,-0.0816721,0.113635,-2.37801,0.280821
202,6,4,3.0,0.091496,0.407866,-0.0998699,0.00788732,-0.0815208,0.151985,-2.3807,0.281019
203,6,5,3.0,0.0916564,0.406992,-0.125272,0.00988289,-0.0813216,0.190704,-2.3841,0.281273
204,7,-6,3.0,0.0963319,0.455194,0.150896,-0.0119132,-0.0928917,-0.23024,-2.38037,0.284506
205,7,-5,3.0,0.0961856,0.456352,0.125288,-0.00993099,-0.0931335,-0.191228,-2.37625,0.284222
206,7,-4,3.0,0.0960539,0.457297,0.0999377,-0.00795771,-0.0933415,-0.152599,-2.37284,0.283988
207,7,-3,3.0,0.095929,0.458022,0.0747976,-0.00597848,-0.0934984,-0.114251,-2.37016,0.283804
208,7,-2,3.0,0.0959408,0.458512,0.0498269,-0.00398831,-0.0935931,-0.0761741,-2.36821,0.283669
209,7,-1,3.0,0.0957735,0.458861,0.0249273,-0.00202682,-0.093679,-0.0382205,-2.36704,0.283588
210,7,0,3.0,0.0955454,0.45901,9.83544e-05,-5.34887e-05,-0.093667,-0.00034342,-2.36665,0.283564
211,7,1,3.0,0.0959158,0.458892,-0.024729,0.00192817,-0.0936789,0.0374912,-2.36703,0.283591
212,7,2,3.0,0.0958858,0.458583,-0.0496162,0.00390373,-0.0936142,0.0753926,-2.36819,0.283674
213,7,3,3.0,0.0958759,0.458062,-0.0745949,0.00588061,-0.0935081,0.113491,-2.37014,0.28381
214,7,4,3.0,0.0960066,0.457326,-0.0997484,0.00785651,-0.0933499,0.151848,-2.3728,0.283996
215,7,5,3.0,0.0960469,0.456384,-0.125097,0.00983413,-0.0931499,0.19054,-2.3762,0.284232
216,8,-6,3.0,0.100744,0.505348,0.150743,-0.0118925,-0.10488,-0.230097,-2.37244,0.287219
217,8,-5,3.0,0.100602,0.506573,0.125164,-0.00991302,-0.105131,-0.191096,-2.36833,0.286953
218,8,-4,3.0,0.100432,0.50756,0.0998388,-0.00794005,-0.105345,-0.152459,-2.36494,0.286734
219,8,-3,3.0,0.100333,0.508332,0.0747215,-0.00596542,-0.105508,-0.114146,-2.36228,0.286562
220,8,-2,3.0,0.100406,0.508874,0.0497808,-0.00398887,-0.105615,-0.0761234,-2.36033,0.286436
221,8,-1,3.0,0.100259,0.509225,0.0249282,-0.00201801,-0.105696,-0.0382402,-2.35919,0.286367
222,8,0,3.0,0.099949,0.509379,9.35915e-05,-5.17897e-05,-0.105685,-0.000317474,-2.35878,0.286338
223,8,1,3.0,0.100356,0.509251,-0.0247413,0.00191873,-0.105694,0.0375512,-2.35918,0.286371
224,8,2,3.0,0.100339,0.508924,-0.0495844,0.00389831,-0.105627,0.0753838,-2.36032,0.286439
225,8,3,3.0,0.100352,0.508376,-0.0745329,0.00586768,-0.105513,0.113445,-2.36225,0.286568
226,8,4,3.0,0.100453,0.507597,-0.09966,0.00784185,-0.105349,0.15179,-2.3649,0.286742
227,8,5,3.0,0.100502,0.506606,-0.124984,0.00981899,-0.105144,0.190456,-2.36829,0.286964
228,9,-6,3.0,0.105572,0.556424,0.150654,-0.0118965,-0.117063,-0.22999,-2.36455,0.289713
229,9,-5,3.0,0.105407,0.55772,0.125094,-0.00991861,-0.117325,-0.190994,-2.36047,0.289463
230,9,-4,3.0,0.105086,0.55875,0.0997753,-0.00794421,-0.117549,-0.152422,-2.3571,0.289257
231,9,-3,3.0,0.104995,0.559565,0.0746734,-0.00596917,-0.117719,-0.114118,-2.35446,0.289095
232,9,-2,3.0,0.105094,0.560122,0.0497467,-0.00398766,-0.117826,-0.0761104,-2.35252,0.288976
233,9,-1,3.0,0.104903,0.560499,0.0248893,-0.00202249,-0.117916,-0.0381847,-2.35137,0.288908
234,9,0,3.0,0.104567,0.560658,8.68647e-05,-5.12615e-05,-0.117903,-0.000299701,-2.35098,0.288884
235,9,1,3.0,0.104951,0.560521,-0.0247094,0.00192584,-0.117913,0.0375332,-2.35136,0.28891
236,9,2,3.0,0.104914,0.560171,-0.0495527,0.00390242,-0.117842,0.0753954,-2.3525,0.288979
237,9,3,3.0,0.105,0.559594,-0.0745047,0.0058733,-0.117721,0.113486,-2.35442,0.289101
